Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,SPY,SPY,SPY,SPY,SPY,UNH,UNH,UNH,UNH,UNH,JNJ,JNJ,JNJ,JNJ,JNJ
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200,406.9739674594389,408.0917213200678,405.06778596420224,407.6126708984375,22758500,608.1106693810499,609.1575080488998,607.2432835546514,607.8713989257812,26910400,526.7488542865098,530.9309934510525,520.6847433816095,521.2822265625,3705300,156.04095029373278,156.21952878168315,154.82072198694354,154.91000366210938,6411800
2025-02-18,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500,407.18354917543536,409.7783523938356,405.6865508328786,408.8202819824219,21423100,609.0478499794664,609.656005859375,606.5553479941693,609.656005859375,26749000,508.7657255302445,513.8041905491866,494.88504399795687,498.59918212890625,8759300,154.13999938964844,155.4499969482422,153.24000549316406,154.99000549316406,9670700
2025-02-19,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200,407.06380569744374,414.6585628844229,406.8342549807474,413.94000244140625,24114200,608.2502469503253,611.3907628653418,607.731787077126,611.0916748046875,31011100,499.19659410118527,509.6817828337705,496.0301337745838,508.86529541015625,4380300,155.0,158.3000030517578,154.75,157.88999938964844,7974700
2025-02-20,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900,415.2900085449219,419.30999755859375,412.5400085449219,416.1300048828125,23508700,609.705871640604,609.845466362675,605.1994692243143,608.5493774414062,36554000,503.0401838430171,506.2663864109086,498.1112362418836,500.281982421875,4144300,156.9499969482422,159.9499969482422,156.9499969482422,159.67999267578125,7224000
2025-02-21,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400,417.3399963378906,418.04998779296875,407.8900146484375,408.2099914550781,27524800,608.3300054050101,608.4696001270332,597.6720639975363,598.1406860351562,76519800,437.679499409266,467.70122153234666,436.63397979972194,464.4351806640625,19864900,159.8800048828125,163.50999450683594,159.27999877929688,162.3000030517578,12546900
2025-02-24,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400,408.510009765625,409.3699951171875,399.32000732421875,404.0,26443700,600.2144558088706,601.2214363779027,594.7010120406462,595.4188842773438,50737200,464.69404512362854,466.0084351825788,455.05524546674894,459.5559997558594,6919300,162.67999267578125,164.8699951171875,162.0500030517578,163.74000549316406,10201900
2025-02-25,248.0,250.0,244.91000366210938,247.0399932861328,48013300,401.1000061035156,401.9200134277344,396.70001220703125,397.8999938964844,29387400,595.3590701652774,596.0968410433766,587.7918070882386,592.457763671875,58266500,458.8092054863519,468.75671420715054,448.1547570311361,468.3783264160156,9101000,164.10000610351562,166.42999267578125,163.94000244140625,166.08999633789062,12303700
2025-02-26,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600,398.010009765625,403.6000061035156,394.25,399.7300109863281,19619000,594.1426816591761,597.7817589335975,590.0848810857798,592.7568359375,43321600,462.67267423530535,471.0369219286186,456.2501404653106,461.6171875,5108400,165.0800018310547,165.1300048828125,162.55999755859375,163.0800018310547,11396400
2025-02-27,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600,401.2699890136719,405.739990234375,392.1700134277344,392.5299987792969,21127400,595.0598849968359,596.226419710782,582.8965242893548,583.2952880859375,74196700,464.1862264879669,473.3769287659693,463.0410960039027,466.5660400390625,4216800,162.30999755859375,163.9499969482422,161.72999572753906,163.72999572753906,8364600
2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400,392.6600036621094,397.6300048828125,386.57000732421875,396.989990234375,32845700,583.8038068836951,592.9363077632394,580.6931691446642,592.39794921875,88744100,465.0126943258031,474.332848516767,462.50342905616935,472.9388122558594,6146300,164.30999755859375,165.94000244140625,162.6999969482422,165.02000427246094,12037200
2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000,398.82000732421875,398.82000732421875,386.1600036621094,388.489990234375,23007700,594.3919179487391,595.5484729311629,578.1607768871335,582.0191650390625,74249200,472.3513267178483,475.2389797704821,463.23030319807685,465.0624694824219,5700200,164.9600067138672,167.3300018310547,164.83999633789062,167.27999877929688,9191500
2025-03-04,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100,383.3999938964844,392.5799865722656,381.0,388.6099853515625,29342900,577.9713716824587,583.63432908105,570.533723601707,575.1298828125,109648200,467.7509976356769,477.1707324749271,464.474989590723,472.5903015136719,5864100,168.0800018310547,169.99000549316406,165.32000732421875,165.4199981689453,11999700
2025-03-05,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600,389.3399963378906,401.6700134277344,388.80999755859375,401.0199890136719,23433100,574.9603891205771,583.1258280404028,571.3612308662864,581.311279296875,71230500,469.0653889406884,477.04128206267615,469.00564669915383,473.9544982910156,3637100,164.50999450683594,166.4600067138672,163.52999877929688,165.1199951171875,8744800
2025-03-06,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400,394.2799987792969,402.1499938964844,392.67999267578125,396.8900146484375,23304600,573.7540215413394,578.4299578955523,568.4101116656967,570.9923706054688,80094900,473.97440395394483,486.0428229909063,469.99142576945786,485.64453125,4964000,165.0,165.8699951171875,163.50999450683594,165.8300018310547,8037900
