,AAPL,MSFT,VTI,BND,GLD
AAPL,1.0,0.4826358834770112,0.5247145108226479,0.15227991617430903,0.051346479019041026
MSFT,0.4826358834770112,1.0,0.6956666684549135,0.00159130610635498,0.14159430821057378
VTI,0.5247145108226479,0.6956666684549135,1.0,0.09225377769846149,0.21169462579398343
BND,0.15227991617430903,0.00159130610635498,0.09225377769846149,1.0,0.2128564384401715
GLD,0.051346479019041026,0.14159430821057378,0.21169462579398343,0.2128564384401715,1.0
